"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"491","CZ46975616",5,0,0.001,0.05
"492","CZ28812191",1,0,0,0
"493","CZ26230470",7,0,0.001,0.05
"494","CZ49959883",2,0,0,0
"495","CZ64615391",6,0,0.001,0.05
"496","CZ27532208",6,0,0.001,0.05
"497","CZ49241567",3,0,0,0
"498","CZ64508510",9,0,0.001,0.05
"499","CZ60162694",15,0,0.003,0.15
"500","CZ48534595",1,0,0,0
"501","CZ25560271",1,0,0,0
"502","CZ44567961",1,0,0,0
"503","CZ26863057",3,0,0,0
"504","CZ63080087",1,0,0,0
"505","CZ19012985",2,0,0,0
"506","CZ44569432",4,0,0,0
"507","CZ12615498",3,0,0,0
"508","CZ65140559",1,0,0,0
"509","CZ64577252",1,0,0,0
"510","CZ40523802",2,0,0,0
"511","CZ45192260",1,0,0,0
"512","CZ26895455",1,0,0,0
"513","CZ46900021",1,0,0,0
"514","CZ45193118",6,0,0.001,0.05
"515","CZ45193631",1,0,0,0
"516","CZ27761126",2,0,0,0
"517","CZ29264049",2,0,0,0
"518","CZ25898175",2,0,0,0
"519","CZ25671464",1,0,0,0
"520","CZ25863703",4,0,0.001,0.05
"521","CZ27092348",2,0,0,0
"522","CZ45313814",2,0,0,0
"523","CZ26216906",1,0,0,0
"524","CZ25110977",5,0,0.001,0.05
"525","CZ62954181",3,0,0,0
"526","CZ63079704",1,0,0,0
"527","CZ65120035",3,0,0,0
"528","CZ15044921",1,0,0,0
"529","CZ25317300",2,0,0.001,0.05
"530","CZ47781734",3,0,0,0
"531","CZ62366670",1,0,0,0
"532","CZ25039733",2,0,0,0
"533","CZ60733276",2,0,0,0
"534","CZ00064203",3,0,0,0
"535","CZ25003810",2,0,0,0
"536","CZ47667036",1,0,0,0
"537","CZ25096702",1,0,0,0
"538","CZ60752149",1,0,0,0
"539","CZ45306028",1,0,0,0
"540","CZ27356876",1,0,0,0
"541","CZ27921891",1,0,0,0
"542","CZ63144719",2,0,0,0
"543","CZ00639711",1,0,0.001,0.05
"544","CZ25263382",1,0,0.001,0.05
"545","CZ00268321",3,0,0.001,0.05
"546","CZ47813059",1,0,0.001,0.05
